Time  [ms],Memory Usage [KB]
0,2459192
101,2460024
201,2461192
302,2462444
402,2462920
502,2463884
603,2456424
703,2478336
804,2472532
906,2481264
1007,2472216
1109,2473412
1208,2475524
1308,2482484
1408,2484148
1509,2485428
1609,2487468
1713,2487664
1810,2493084
1910,2492140
2011,2491272
2111,2492548
2212,2496796
2312,2497456
2413,2501964
2513,2503940
2613,2505932
2713,2539356
2814,2550200
2914,2558436
3015,2560152
3115,2561152
3215,2562164
3316,2565736
3420,2565224
