Time  [ms],Memory Usage [KB]
0,2589420
101,2590196
200,2592096
301,2592580
401,2595324
504,2595912
602,2598540
704,2612168
803,2614476
905,2615508
1006,2616404
1106,2618004
1206,2625892
1306,2630248
1407,2628236
1508,2630424
1608,2637456
1708,2637436
1809,2636524
1911,2638012
2010,2641608
2110,2647236
2210,2651244
2311,2653736
2411,2655920
2512,2658580
2612,2664420
2712,2697940
2812,2688796
2913,2690700
3013,2691840
3114,2720380
3214,2723128
3315,2724420
3415,2725780
3515,2727640
