Time  [ms],Memory Usage [KB]
0,2496588
100,2497392
201,2498380
301,2500668
401,2501816
502,2497732
602,2496372
703,2515916
805,2517268
905,2518352
1007,2519164
1106,2524708
1206,2524500
1306,2531464
1407,2533196
1512,2539116
1608,2542432
1708,2547596
1810,2546532
1909,2541684
2009,2544140
2109,2544684
2210,2545532
2310,2546140
2410,2544188
2511,2542900
2611,2547368
2712,2550604
2812,2551168
2912,2551564
3012,2551868
3113,2556164
3213,2557312
3314,2561608
3414,2561604
3514,2576732
3616,2591016
3715,2594956
3815,2596576
3916,2601104
4016,2604500
4117,2625624
4217,2635640
4317,2649440
4418,2657032
4519,2668912
4619,2675168
4720,2678004
4819,2678488
4920,2679252
5021,2680440
5122,2680904
5222,2682772
5322,2688716
5422,2691228
5523,2696364
5623,2699536
5723,2700972
5824,2711212
5925,2711360
6025,2712052
