datetime,cpu
Sat Oct 17 21:27:41 GMT 2020,31
Sat Oct 17 21:27:41 GMT 2020,31
Sat Oct 17 21:27:41 GMT 2020,31
Sat Oct 17 21:27:42 GMT 2020,31
Sat Oct 17 21:27:42 GMT 2020,31
Sat Oct 17 21:27:42 GMT 2020,31
Sat Oct 17 21:27:42 GMT 2020,31
Sat Oct 17 21:27:42 GMT 2020,31
Sat Oct 17 21:27:43 GMT 2020,31
Sat Oct 17 21:27:43 GMT 2020,31
Sat Oct 17 21:27:43 GMT 2020,31
Sat Oct 17 21:27:43 GMT 2020,31
Sat Oct 17 21:27:44 GMT 2020,31
Sat Oct 17 21:27:44 GMT 2020,31
Sat Oct 17 21:27:44 GMT 2020,31
Sat Oct 17 21:27:44 GMT 2020,31
Sat Oct 17 21:27:45 GMT 2020,31
Sat Oct 17 21:27:45 GMT 2020,31
Sat Oct 17 21:27:45 GMT 2020,31
Sat Oct 17 21:27:45 GMT 2020,31
Sat Oct 17 21:27:45 GMT 2020,31
Sat Oct 17 21:27:46 GMT 2020,31
Sat Oct 17 21:27:46 GMT 2020,31
Sat Oct 17 21:27:46 GMT 2020,31
Sat Oct 17 21:27:46 GMT 2020,31
Sat Oct 17 21:27:47 GMT 2020,31
Sat Oct 17 21:27:47 GMT 2020,31
Sat Oct 17 21:27:47 GMT 2020,31
Sat Oct 17 21:27:47 GMT 2020,31
Sat Oct 17 21:27:48 GMT 2020,31
Sat Oct 17 21:27:48 GMT 2020,31
Sat Oct 17 21:27:48 GMT 2020,31
Sat Oct 17 21:27:48 GMT 2020,31
Sat Oct 17 21:27:48 GMT 2020,31
Sat Oct 17 21:27:49 GMT 2020,31
Sat Oct 17 21:27:49 GMT 2020,31
