Time  [ms],Memory Usage [KB]
0,2441916
101,2442148
200,2444012
301,2444800
405,2444576
501,2445268
601,2448212
702,2471080
802,2458772
903,2458612
1006,2458940
1105,2460896
1204,2461164
1305,2468640
1405,2473068
1505,2475104
1606,2474780
1706,2475508
1808,2475116
1908,2475516
2008,2475472
2109,2475472
2209,2476156
2310,2476012
2410,2476716
2510,2476528
2610,2476312
2711,2483540
2811,2482516
2911,2482472
3012,2483216
3112,2485616
3212,2486540
3313,2489040
3413,2488980
3513,2490052
3614,2491296
3714,2496288
3815,2495824
3915,2495824
4015,2498012
4116,2497228
4216,2497548
4316,2498320
4417,2499052
4517,2502016
4618,2503212
4718,2506444
4818,2511876
4919,2539936
5020,2541744
5120,2545712
5221,2567892
5321,2570696
5422,2575320
5522,2577332
5623,2581620
5724,2576540
5825,2577588
5924,2575216
