Time  [ms],Memory Usage [KB]
0,2417928
99,2412148
200,2415024
301,2414428
401,2416412
501,2414732
602,2436976
703,2440364
803,2436908
903,2419272
1004,2420536
1104,2422192
1205,2422512
1305,2431224
1406,2433788
1506,2435992
1606,2438920
1707,2444920
1807,2436332
1908,2439728
2009,2438972
2109,2438812
2217,2439492
2310,2439912
2410,2439740
2512,2440808
2612,2444144
2712,2460596
2813,2475824
2914,2483032
3014,2484600
3114,2492856
3215,2497140
3315,2499764
3416,2504616
3516,2506500
3617,2506352
3717,2506416
3818,2506560
3918,2509252
4018,2510060
4119,2518352
4219,2520220
4322,2523932
4424,2528564
