Time  [ms],Memory Usage [KB]
0,2444984
101,2439616
201,2440740
302,2442456
402,2443856
502,2443308
602,2437552
703,2458240
803,2459368
903,2459584
1003,2462364
1106,2471212
1206,2473620
1305,2478000
1407,2462916
1506,2471192
1608,2474656
1709,2475408
1809,2474376
1910,2476164
2010,2480164
2110,2482396
2211,2484664
2311,2486152
2412,2489936
2512,2507584
2612,2506268
2712,2505144
2813,2506336
2913,2511324
3013,2513244
3115,2510500
3215,2510304
3315,2510448
3416,2510748
3516,2515860
3617,2527312
3717,2530900
3818,2533396
3918,2536344
4019,2542556
4119,2548856
