Time  [ms],Memory Usage [KB]
0,2526404
100,2527368
201,2528924
301,2529336
402,2529644
502,2527980
602,2522744
703,2542532
804,2544760
904,2546796
1004,2545348
1104,2551596
1204,2555788
1305,2560572
1405,2563608
1508,2569864
1610,2575108
1708,2578724
1809,2569568
1909,2569828
2010,2570388
2113,2572544
2210,2572032
2311,2572532
2411,2573796
2511,2574928
2612,2575284
2712,2571328
2812,2569572
2913,2570988
3014,2572192
3113,2573684
3214,2574504
3314,2577056
3414,2597528
3514,2601120
3615,2613588
3715,2631696
3815,2633580
3916,2632500
4016,2632028
4117,2633092
4217,2623876
4318,2626064
4420,2628084
4519,2631992
4621,2632136
4721,2632516
4821,2676916
