datetime,cpu
Sun Oct 18 16:23:17 GMT 2020,27
Sun Oct 18 16:23:17 GMT 2020,27
Sun Oct 18 16:23:17 GMT 2020,27
Sun Oct 18 16:23:17 GMT 2020,27
Sun Oct 18 16:23:18 GMT 2020,27
Sun Oct 18 16:23:18 GMT 2020,27
Sun Oct 18 16:23:18 GMT 2020,27
Sun Oct 18 16:23:18 GMT 2020,27
Sun Oct 18 16:23:19 GMT 2020,27
Sun Oct 18 16:23:19 GMT 2020,27
Sun Oct 18 16:23:19 GMT 2020,27
Sun Oct 18 16:23:19 GMT 2020,27
Sun Oct 18 16:23:19 GMT 2020,27
Sun Oct 18 16:23:20 GMT 2020,27
Sun Oct 18 16:23:20 GMT 2020,27
Sun Oct 18 16:23:20 GMT 2020,27
Sun Oct 18 16:23:20 GMT 2020,27
Sun Oct 18 16:23:21 GMT 2020,27
