Time  [ms],Memory Usage [KB]
0,2452352
101,2453280
201,2453508
302,2454964
402,2456152
502,2456792
602,2457468
703,2459024
803,2461256
903,2466496
1004,2465140
1104,2463112
1204,2471400
1305,2474276
1405,2476172
1507,2476312
1606,2476912
1707,2484504
1807,2481392
1907,2480856
2009,2482848
2108,2486880
2209,2488724
2309,2509144
2409,2512752
2510,2524452
2610,2526500
2711,2525264
2812,2529592
2912,2530500
3013,2533164
3113,2535376
3213,2537952
3315,2539792
3414,2542588
3514,2557024
