Time  [ms],Memory Usage [KB]
0,2466652
100,2463220
200,2463060
301,2463012
402,2464408
501,2465324
602,2467140
702,2484804
805,2487084
904,2468776
1004,2471648
1105,2480560
1205,2482672
1305,2489484
1406,2495220
1507,2503532
1607,2498572
1708,2496176
1808,2497948
1909,2500652
2009,2501536
2110,2502312
2210,2496372
2310,2495520
2410,2497112
2511,2498876
2611,2524496
2711,2530068
2812,2531800
2912,2545904
3013,2550660
3114,2552516
3213,2554472
3315,2555224
3414,2556204
3515,2557888
3615,2558796
3715,2561712
3818,2564820
3917,2564840
4018,2566792
4117,2568876
4218,2585220
4318,2590524
4418,2585524
