Time  [ms],Memory Usage [KB]
0,2451920
100,2432948
200,2434588
301,2434768
401,2435848
503,2433880
603,2437212
704,2456896
805,2458128
904,2458392
1005,2460800
1105,2466580
1205,2470956
1306,2475268
1406,2477704
1507,2481400
1610,2490872
1711,2490788
1811,2484020
1912,2484552
2012,2488896
2114,2492592
2213,2496584
2314,2509188
2414,2534440
2516,2540872
2616,2545648
2717,2560244
2817,2570612
2918,2567656
3018,2572060
3119,2576184
3220,2581060
3320,2584332
3420,2585260
3521,2588224
3621,2588660
3722,2591564
3822,2592468
3923,2593512
4023,2595644
4123,2599624
4224,2601792
4324,2603996
4424,2604964
