datetime,cpu
Sun Oct 18 05:41:39 GMT 2020,30
Sun Oct 18 05:41:39 GMT 2020,30
Sun Oct 18 05:41:39 GMT 2020,30
Sun Oct 18 05:41:40 GMT 2020,30
Sun Oct 18 05:41:40 GMT 2020,30
Sun Oct 18 05:41:40 GMT 2020,30
Sun Oct 18 05:41:40 GMT 2020,30
Sun Oct 18 05:41:40 GMT 2020,30
Sun Oct 18 05:41:41 GMT 2020,30
Sun Oct 18 05:41:41 GMT 2020,30
Sun Oct 18 05:41:41 GMT 2020,30
Sun Oct 18 05:41:41 GMT 2020,30
Sun Oct 18 05:41:42 GMT 2020,30
Sun Oct 18 05:41:42 GMT 2020,30
Sun Oct 18 05:41:42 GMT 2020,30
Sun Oct 18 05:41:42 GMT 2020,30
Sun Oct 18 05:41:42 GMT 2020,30
Sun Oct 18 05:41:43 GMT 2020,30
Sun Oct 18 05:41:43 GMT 2020,30
Sun Oct 18 05:41:43 GMT 2020,30
Sun Oct 18 05:41:43 GMT 2020,30
Sun Oct 18 05:41:43 GMT 2020,30
Sun Oct 18 05:41:44 GMT 2020,30
Sun Oct 18 05:41:44 GMT 2020,30
