Time  [ms],Memory Usage [KB]
0,2487620
102,2483412
201,2486816
301,2485836
403,2486716
502,2485848
602,2490508
703,2506420
803,2512416
904,2513600
1005,2512240
1106,2509740
1207,2516748
1306,2518560
1407,2522380
1507,2521392
1608,2525540
1708,2526848
1808,2526916
1912,2528088
2009,2528192
2110,2529452
2210,2531916
2310,2533688
2411,2536112
2511,2539816
2611,2542868
2712,2545032
2812,2548756
2913,2549656
3013,2553688
3113,2563588
3214,2566720
3314,2560896
3414,2562216
3515,2564120
3615,2565260
3715,2566800
3816,2576980
3916,2584588
4020,2585820
