Time  [ms],Memory Usage [KB]
0,2431012
101,2430624
201,2432840
301,2433428
402,2434432
502,2435240
602,2435252
703,2455604
804,2457552
904,2458164
1054,2459540
1155,2468208
1205,2469344
1305,2473112
1406,2474828
1507,2479912
1606,2482852
1759,2491652
1860,2488560
1909,2487872
2010,2491388
2112,2487420
2211,2490364
2311,2493524
2411,2492988
2511,2496384
2612,2502536
2713,2524280
2813,2530244
2913,2559928
3015,2570632
3115,2572816
3215,2590248
3315,2580844
3415,2604500
3516,2616512
3616,2616912
3716,2618392
3817,2622072
3917,2623192
4018,2622524
4118,2625208
4219,2626052
4319,2628220
