datetime,cpu
Sat Oct 17 22:22:52 GMT 2020,29
Sat Oct 17 22:22:53 GMT 2020,29
Sat Oct 17 22:22:53 GMT 2020,29
Sat Oct 17 22:22:53 GMT 2020,29
Sat Oct 17 22:22:53 GMT 2020,29
Sat Oct 17 22:22:53 GMT 2020,29
Sat Oct 17 22:22:54 GMT 2020,29
Sat Oct 17 22:22:54 GMT 2020,29
Sat Oct 17 22:22:54 GMT 2020,29
Sat Oct 17 22:22:54 GMT 2020,29
Sat Oct 17 22:22:55 GMT 2020,29
Sat Oct 17 22:22:55 GMT 2020,29
Sat Oct 17 22:22:55 GMT 2020,29
Sat Oct 17 22:22:55 GMT 2020,29
Sat Oct 17 22:22:55 GMT 2020,29
Sat Oct 17 22:22:56 GMT 2020,29
Sat Oct 17 22:22:56 GMT 2020,29
Sat Oct 17 22:22:56 GMT 2020,29
Sat Oct 17 22:22:56 GMT 2020,29
Sat Oct 17 22:22:57 GMT 2020,29
Sat Oct 17 22:22:57 GMT 2020,29
