Time  [ms],Memory Usage [KB]
0,2458596
100,2459160
201,2461260
301,2462040
402,2462544
501,2463160
602,2464656
752,2484608
853,2484920
904,2487504
1004,2486344
1104,2491152
1205,2496288
1305,2482224
1408,2487492
1506,2488928
1606,2498392
1709,2495776
1808,2496000
1909,2496472
2009,2499000
2110,2500168
2210,2500416
2311,2501444
2410,2503556
2512,2505452
2611,2509308
2711,2506664
2812,2507420
2912,2510468
3013,2517932
3113,2533728
3214,2555628
3314,2557708
3416,2559216
3515,2561668
3616,2562196
3717,2564796
3817,2567424
3917,2571084
4018,2574308
4118,2569656
