Time  [ms],Memory Usage [KB]
0,2469980
50,2470000
150,2471916
250,2472696
351,2473184
451,2472184
552,2474760
652,2494612
752,2499332
853,2499280
953,2498240
1054,2503796
1154,2490780
1254,2498632
1355,2501776
1456,2502372
1555,2502696
1655,2502356
1757,2513608
1857,2508148
1957,2520692
2058,2523716
2158,2548144
2259,2550368
2360,2552776
2461,2553532
2562,2555368
2663,2557224
2763,2559200
2864,2559616
2965,2559432
3065,2559700
3165,2559608
3267,2559608
3368,2559628
3470,2559628
3569,2559836
3670,2560292
3770,2560580
3870,2566756
3971,2551296
4070,2544944
4171,2544276
4271,2546848
4371,2551320
4472,2568184
4572,2568808
4672,2571572
4773,2573524
4873,2574280
4973,2575392
5074,2577940
