datetime,cpu
Sun Oct 18 02:24:00 GMT 2020,29
Sun Oct 18 02:24:00 GMT 2020,29
Sun Oct 18 02:24:00 GMT 2020,29
Sun Oct 18 02:24:01 GMT 2020,29
Sun Oct 18 02:24:01 GMT 2020,29
Sun Oct 18 02:24:01 GMT 2020,29
Sun Oct 18 02:24:01 GMT 2020,29
Sun Oct 18 02:24:02 GMT 2020,29
Sun Oct 18 02:24:02 GMT 2020,29
Sun Oct 18 02:24:02 GMT 2020,29
Sun Oct 18 02:24:02 GMT 2020,29
Sun Oct 18 02:24:02 GMT 2020,29
Sun Oct 18 02:24:03 GMT 2020,29
Sun Oct 18 02:24:03 GMT 2020,29
Sun Oct 18 02:24:03 GMT 2020,29
Sun Oct 18 02:24:03 GMT 2020,29
