Time  [ms],Memory Usage [KB]
0,2538876
100,2538660
201,2542148
302,2543148
402,2544052
503,2525324
604,2536696
704,2539736
805,2542404
906,2544492
1006,2549844
1108,2548208
1208,2550140
1308,2550668
1409,2551132
1509,2558808
1610,2553604
1710,2557328
1811,2558548
1912,2560512
2013,2560352
2113,2565712
2215,2577480
2316,2579708
2416,2582416
2518,2584400
2618,2586340
2719,2588292
2819,2590508
2921,2590576
3021,2590784
3121,2591088
3223,2591088
3324,2590900
3423,2590104
3524,2590356
3624,2590292
3726,2590312
3826,2590336
3926,2594596
4027,2600600
4127,2575948
4228,2576308
4328,2577172
4428,2579860
4529,2583132
4629,2591664
4730,2603524
4830,2590828
4930,2591840
5031,2592792
5132,2592880
5233,2596828
5333,2598048
5433,2598704
5534,2617640
5634,2620540
