Time  [ms],Memory Usage [KB]
0,2463036
103,2465156
203,2466540
304,2467264
405,2468656
505,2467460
605,2468976
705,2488812
806,2489772
906,2489644
1007,2490840
1107,2496180
1208,2501680
1309,2505928
1409,2507712
1509,2510388
1610,2511024
1711,2496100
1811,2502220
1912,2504608
2012,2505140
2112,2503012
2213,2502948
2313,2503944
2413,2505632
2513,2505844
2614,2508092
2715,2506864
2814,2505844
2915,2507324
3016,2515272
3118,2517872
3218,2520136
3318,2521788
3418,2525648
3519,2546600
3619,2541124
3720,2550120
3821,2540764
3923,2549840
4024,2536320
4125,2535264
4224,2535940
4325,2539268
4425,2562644
4525,2568488
4626,2585276
4726,2590092
4827,2591200
4927,2593116
5028,2598912
5128,2576248
5228,2578480
5329,2579152
5429,2580028
