Time  [ms],Memory Usage [KB]
0,2458796
101,2439940
203,2441976
302,2440964
402,2441068
503,2435144
603,2435800
703,2454720
803,2456236
904,2459824
1004,2459456
1104,2468560
1207,2470932
1307,2475312
1407,2480584
1509,2487876
1609,2486416
1710,2487248
1810,2487036
1911,2487012
2011,2504784
2112,2521972
2216,2526256
2316,2527912
2413,2545604
2513,2551372
2613,2553652
2716,2554452
2818,2552784
2917,2549064
3018,2549712
3119,2550776
3221,2550804
3322,2551048
3421,2552284
