datetime,cpu
Sun Oct 18 03:42:10 GMT 2020,27
Sun Oct 18 03:42:10 GMT 2020,27
Sun Oct 18 03:42:10 GMT 2020,27
Sun Oct 18 03:42:11 GMT 2020,27
Sun Oct 18 03:42:11 GMT 2020,27
Sun Oct 18 03:42:11 GMT 2020,27
Sun Oct 18 03:42:11 GMT 2020,27
Sun Oct 18 03:42:12 GMT 2020,27
Sun Oct 18 03:42:12 GMT 2020,27
Sun Oct 18 03:42:12 GMT 2020,27
Sun Oct 18 03:42:12 GMT 2020,27
Sun Oct 18 03:42:12 GMT 2020,27
Sun Oct 18 03:42:13 GMT 2020,27
Sun Oct 18 03:42:13 GMT 2020,27
Sun Oct 18 03:42:13 GMT 2020,27
Sun Oct 18 03:42:13 GMT 2020,27
Sun Oct 18 03:42:14 GMT 2020,27
Sun Oct 18 03:42:14 GMT 2020,27
