Time  [ms],Memory Usage [KB]
0,2609748
101,2609864
201,2611556
301,2612584
402,2613740
502,2615208
603,2599580
703,2594628
803,2605848
904,2600292
1004,2601904
1105,2601612
1205,2601688
1305,2603404
1406,2608424
1506,2611556
1607,2612424
1708,2616320
1809,2621696
1910,2623632
2010,2625200
2111,2626640
2211,2629564
2312,2631276
2412,2635616
2512,2637888
2613,2646952
2713,2677480
2814,2679736
2914,2690412
3015,2690256
3119,2693036
3219,2693564
3319,2694004
3420,2693764
