Time  [ms],Memory Usage [KB]
0,2447680
100,2448676
201,2450144
302,2451508
402,2451380
503,2451320
603,2451920
704,2473944
804,2469720
905,2472356
1005,2472420
1106,2475628
1206,2477072
1307,2475416
1407,2476780
1508,2480676
1608,2481500
1708,2483224
1810,2482812
1910,2483092
2011,2482836
2113,2483036
2212,2484296
2313,2483512
2413,2482644
2514,2482884
2615,2483364
2715,2489132
2815,2489576
2915,2512436
3016,2513332
3116,2536060
3216,2547860
3317,2549976
3417,2558280
3517,2559412
