Time  [ms],Memory Usage [KB]
0,2569652
95,2569996
196,2571888
296,2572596
396,2573248
497,2574072
598,2574604
699,2592516
799,2593636
899,2595704
1000,2595616
1101,2598400
1201,2606404
1301,2612512
1401,2613760
1502,2610072
1603,2608372
1702,2610132
1803,2614596
1906,2617060
2006,2615484
2107,2617708
2208,2620132
2308,2616932
2408,2621752
2508,2623392
2609,2627032
2709,2638012
2811,2666144
2911,2661116
3012,2665032
3113,2664704
3213,2685848
3314,2686952
3414,2701620
3515,2718180
3616,2718840
