Time  [ms],Memory Usage [KB]
0,2543464
100,2539088
201,2542300
301,2541880
401,2542696
501,2542444
602,2544568
702,2561624
804,2546244
904,2544304
1004,2546672
1104,2555044
1205,2556352
1306,2560952
1406,2566048
1506,2570484
1607,2574192
1709,2577688
1808,2572872
1909,2563996
2008,2567616
2110,2569108
2209,2570140
2309,2574164
2410,2577500
2510,2580668
2611,2585004
2711,2582916
2812,2602708
2912,2624828
3012,2628020
3113,2630308
3213,2632756
3313,2636280
3414,2642148
3514,2655844
3615,2663556
3715,2676908
3815,2682648
3916,2685208
4016,2686140
4116,2688520
4216,2695492
4317,2694252
4417,2695736
4518,2704436
4618,2700176
4718,2702688
4819,2701908
4919,2705888
5019,2707288
5120,2716496
5220,2720500
