datetime,cpu
Sun Oct 18 04:58:00 GMT 2020,30
Sun Oct 18 04:58:01 GMT 2020,30
Sun Oct 18 04:58:01 GMT 2020,30
Sun Oct 18 04:58:01 GMT 2020,30
Sun Oct 18 04:58:01 GMT 2020,30
Sun Oct 18 04:58:01 GMT 2020,30
Sun Oct 18 04:58:02 GMT 2020,30
Sun Oct 18 04:58:02 GMT 2020,30
Sun Oct 18 04:58:02 GMT 2020,30
Sun Oct 18 04:58:02 GMT 2020,30
Sun Oct 18 04:58:03 GMT 2020,30
Sun Oct 18 04:58:03 GMT 2020,30
Sun Oct 18 04:58:03 GMT 2020,30
Sun Oct 18 04:58:03 GMT 2020,30
Sun Oct 18 04:58:03 GMT 2020,30
