Time  [ms],Memory Usage [KB]
0,2579324
100,2575216
200,2577776
301,2577440
401,2577796
501,2577080
602,2596492
703,2599596
804,2604040
904,2604532
1004,2605100
1105,2602540
1205,2591244
1307,2592252
1408,2595416
1508,2598768
1608,2598252
1709,2598836
1809,2599644
1909,2600344
2010,2602624
2112,2603168
2211,2603344
2311,2605780
2412,2610800
2513,2612432
2614,2615104
2713,2614980
2814,2615996
2914,2616532
3014,2616780
3115,2617788
3215,2617324
3316,2617784
3416,2617784
3516,2618240
3617,2618720
3717,2619512
3818,2618956
3920,2620460
4018,2632896
4119,2634428
4219,2637196
4320,2639428
4420,2641220
4521,2643412
4621,2644452
4723,2644452
4822,2645240
4924,2644744
5023,2644744
5124,2644680
5226,2644568
5325,2645916
5425,2646144
5526,2645868
5626,2645552
5727,2652312
5827,2637672
5929,2630304
6028,2634408
6128,2633068
6228,2634396
6329,2635920
6429,2638484
6529,2640984
6632,2663980
6730,2665828
6831,2664964
6931,2681792
7031,2684848
7132,2687960
7232,2693180
7333,2704292
7433,2707004
7533,2708284
7634,2710712
7734,2712128
7836,2699752
7935,2699712
8035,2701024
8136,2703524
8236,2706028
